Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2022-02-06 20:00:29,"Evening Workout",10m,"Chin Up",1,0.0,10.0,0,0.0,
2022-02-06 20:11:39,"Evening Workout",2h 53m,"Chin Up",1,10.0,10.0,0,0.0,
2022-02-06 20:11:39,"Evening Workout",2h 53m,"Lat Pulldown (Cable)",1,45.0,16.0,0,0.0,
2022-02-06 20:11:39,"Evening Workout",2h 53m,"Lat Pulldown (Cable)",2,66.0,8.0,0,0.0,
2022-02-06 20:11:39,"Evening Workout",2h 53m,"Lat Pulldown (Cable)",3,73.0,6.0,0,0.0,
2022-02-06 20:11:39,"Evening Workout",2h 53m,"Bent Over Row (Barbell)",1,50.0,12.0,0,0.0,
2022-02-06 20:11:39,"Evening Workout",2h 53m,"Bent Over Row (Barbell)",2,70.0,8.0,0,0.0,
2022-02-06 20:11:39,"Evening Workout",2h 53m,"Bent Over Row (Barbell)",3,70.0,8.0,0,0.0,
2022-02-06 20:11:39,"Evening Workout",2h 53m,"Seated Row (Machine)",1,20.0,10.0,0,0.0,
2022-02-06 20:11:39,"Evening Workout",2h 53m,"Seated Row (Machine)",2,40.0,12.0,0,0.0,
2022-02-06 20:11:39,"Evening Workout",2h 53m,"Seated Row (Machine)",3,60.0,12.0,0,0.0,
2022-02-06 20:11:39,"Evening Workout",2h 53m,"Seated Row (Machine)",4,60.0,8.0,0,0.0,
2022-02-06 20:11:39,"Evening Workout",2h 53m,"Preacher Curl (Barbell)",1,20.0,12.0,0,0.0,
2022-02-06 20:11:39,"Evening Workout",2h 53m,"Preacher Curl (Barbell)",2,20.0,15.0,0,0.0,
2022-02-06 20:11:39,"Evening Workout",2h 53m,"Preacher Curl (Barbell)",3,30.0,10.0,0,0.0,
2022-02-06 20:11:39,"Evening Workout",2h 53m,"Preacher Curl (Barbell)",4,30.0,10.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Rowing (Machine)",1,0,0.0,1000.0,235.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Bench Press (Barbell)",1,60.0,15.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Bench Press (Barbell)",2,70.0,10.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Bench Press (Barbell)",3,80.0,3.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Bench Press (Barbell)",4,80.0,4.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Smith Machine Shoulder Press",1,20.0,15.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Smith Machine Shoulder Press",2,30.0,10.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Smith Machine Shoulder Press",3,30.0,10.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Smith Machine Shoulder Press",4,35.0,6.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Triceps Pushdown (Cable - Straight Bar)",1,14.7,16.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Triceps Pushdown (Cable - Straight Bar)",2,19.3,8.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Triceps Pushdown (Cable - Straight Bar)",3,17.0,10.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Triceps Pushdown (Cable - Straight Bar)",4,17.0,10.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Lateral Raise (Dumbbell)",1,8.0,12.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Lateral Raise (Dumbbell)",2,8.0,15.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Cable Crossover",1,5.7,15.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Cable Crossover",2,10.2,16.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Cable Crossover",3,12.5,10.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Cable Crossover",4,12.5,12.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Sit Up",1,0,15.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Sit Up",2,0,15.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Sit Up",3,0,15.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Russian Twist",1,0,15.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Russian Twist",2,0,15.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Russian Twist",3,0,55.0,0,0.0,
2022-02-20 13:04:18,"Midday Workout",1h 12m,"Cycling (Indoor)",1,0,0.0,5.0,568.0,
2022-02-25 16:45:06,"Chest & Tris",1h 2m,"Rowing (Machine)",1,0,0.0,1000.0,227.0,
2022-02-25 16:45:06,"Chest & Tris",1h 2m,"Bench Press (Barbell)",1,60.0,15.0,0,0.0,
2022-02-25 16:45:06,"Chest & Tris",1h 2m,"Bench Press (Barbell)",2,70.0,8.0,0,0.0,
2022-02-25 16:45:06,"Chest & Tris",1h 2m,"Bench Press (Barbell)",3,70.0,8.0,0,0.0,
2022-02-25 16:45:06,"Chest & Tris",1h 2m,"Bench Press (Barbell)",4,80.0,3.0,0,0.0,
2022-02-25 16:45:06,"Chest & Tris",1h 2m,"Triceps Pushdown (Cable - Straight Bar)",1,14.7,16.0,0,0.0,
2022-02-25 16:45:06,"Chest & Tris",1h 2m,"Triceps Pushdown (Cable - Straight Bar)",2,19.3,8.0,0,0.0,
2022-02-25 16:45:06,"Chest & Tris",1h 2m,"Triceps Pushdown (Cable - Straight Bar)",3,17.0,10.0,0,0.0,
2022-02-25 16:45:06,"Chest & Tris",1h 2m,"Triceps Pushdown (Cable - Straight Bar)",4,17.0,10.0,0,0.0,
2022-02-25 16:45:06,"Chest & Tris",1h 2m,"Lateral Raise (Dumbbell)",1,8.0,12.0,0,0.0,
2022-02-25 16:45:06,"Chest & Tris",1h 2m,"Lateral Raise (Dumbbell)",2,8.0,15.0,0,0.0,
